"exchange","bid","ask","time","created_at"
"bitflyer","468200.0","468280.0","1503070408","2017-08-18 15:33:28 UTC"
"coincheck","468000.0","468100.0","1503070409","2017-08-18 15:33:29 UTC"
"bitflyer","468200.0","468280.0","1503070409","2017-08-18 15:33:29 UTC"
"coincheck","468006.0","468100.0","1503070411","2017-08-18 15:33:31 UTC"
"bitflyer","468200.0","468469.0","1503070413","2017-08-18 15:33:33 UTC"
"coincheck","468013.0","468100.0","1503070414","2017-08-18 15:33:34 UTC"
"bitflyer","468200.0","468468.0","1503070414","2017-08-18 15:33:34 UTC"
"coincheck","468018.0","468100.0","1503070416","2017-08-18 15:33:36 UTC"
"bitflyer","468200.0","468468.0","1503070416","2017-08-18 15:33:36 UTC"
"coincheck","468019.0","468095.0","1503070417","2017-08-18 15:33:37 UTC"
"bitflyer","468205.0","468469.0","1503070418","2017-08-18 15:33:38 UTC"
"coincheck","468021.0","468100.0","1503070419","2017-08-18 15:33:39 UTC"
"bitflyer","468200.0","468469.0","1503070419","2017-08-18 15:33:39 UTC"
"coincheck","468022.0","468100.0","1503070421","2017-08-18 15:33:41 UTC"
"bitflyer","468200.0","468300.0","1503070421","2017-08-18 15:33:41 UTC"
"coincheck","468022.0","468100.0","1503070422","2017-08-18 15:33:42 UTC"
"bitflyer","468200.0","468300.0","1503070423","2017-08-18 15:33:43 UTC"
"coincheck","468022.0","468100.0","1503070424","2017-08-18 15:33:44 UTC"
"bitflyer","468200.0","468469.0","1503070426","2017-08-18 15:33:46 UTC"
"coincheck","468126.0","468345.0","1503070427","2017-08-18 15:33:47 UTC"
"bitflyer","468200.0","468480.0","1503070429","2017-08-18 15:33:49 UTC"
"coincheck","468139.0","468345.0","1503070430","2017-08-18 15:33:50 UTC"
"bitflyer","468200.0","468479.0","1503070431","2017-08-18 15:33:51 UTC"
"coincheck","468148.0","468150.0","1503070432","2017-08-18 15:33:52 UTC"
"bitflyer","468205.0","468479.0","1503070434","2017-08-18 15:33:54 UTC"
"coincheck","468145.0","468150.0","1503070435","2017-08-18 15:33:55 UTC"
"bitflyer","468205.0","468479.0","1503070435","2017-08-18 15:33:55 UTC"
"coincheck","468149.0","468450.0","1503070436","2017-08-18 15:33:56 UTC"
"bitflyer","468205.0","468479.0","1503070437","2017-08-18 15:33:57 UTC"
"coincheck","468155.0","468601.0","1503070438","2017-08-18 15:33:58 UTC"
"bitflyer","468206.0","468479.0","1503070438","2017-08-18 15:33:58 UTC"
"coincheck","468161.0","468601.0","1503070440","2017-08-18 15:34:00 UTC"
"bitflyer","468207.0","468479.0","1503070440","2017-08-18 15:34:00 UTC"
"coincheck","468166.0","468729.0","1503070442","2017-08-18 15:34:02 UTC"
"bitflyer","468207.0","468479.0","1503070442","2017-08-18 15:34:02 UTC"
"coincheck","468176.0","468759.0","1503070443","2017-08-18 15:34:03 UTC"
"bitflyer","468207.0","468479.0","1503070444","2017-08-18 15:34:04 UTC"
"coincheck","468186.0","468790.0","1503070445","2017-08-18 15:34:05 UTC"
"bitflyer","468229.0","468501.0","1503070445","2017-08-18 15:34:05 UTC"
"coincheck","468200.0","468810.0","1503070447","2017-08-18 15:34:07 UTC"
"bitflyer","468229.0","468501.0","1503070447","2017-08-18 15:34:07 UTC"
"coincheck","468215.0","468830.0","1503070448","2017-08-18 15:34:08 UTC"
"bitflyer","468230.0","468501.0","1503070449","2017-08-18 15:34:09 UTC"
"coincheck","468240.0","468524.0","1503070450","2017-08-18 15:34:10 UTC"
"bitflyer","468230.0","468501.0","1503070451","2017-08-18 15:34:11 UTC"
"coincheck","468249.0","468651.0","1503070452","2017-08-18 15:34:12 UTC"
"bitflyer","468230.0","468501.0","1503070452","2017-08-18 15:34:12 UTC"
"coincheck","468327.0","468710.0","1503070454","2017-08-18 15:34:14 UTC"
"bitflyer","468282.0","468501.0","1503070454","2017-08-18 15:34:14 UTC"
"coincheck","468335.0","468779.0","1503070455","2017-08-18 15:34:15 UTC"
"bitflyer","468282.0","468500.0","1503070456","2017-08-18 15:34:16 UTC"
"coincheck","468340.0","468766.0","1503070457","2017-08-18 15:34:17 UTC"
"bitflyer","468319.0","468500.0","1503070458","2017-08-18 15:34:18 UTC"
"coincheck","468340.0","468766.0","1503070459","2017-08-18 15:34:19 UTC"
"bitflyer","468729.0","468760.0","1503070462","2017-08-18 15:34:22 UTC"
"coincheck","468340.0","468766.0","1503070463","2017-08-18 15:34:23 UTC"
"bitflyer","468729.0","468760.0","1503070463","2017-08-18 15:34:23 UTC"
"coincheck","468340.0","468766.0","1503070465","2017-08-18 15:34:25 UTC"
"bitflyer","468729.0","468860.0","1503070465","2017-08-18 15:34:25 UTC"
"coincheck","468772.0","468860.0","1503070467","2017-08-18 15:34:27 UTC"
"bitflyer","468729.0","468759.0","1503070468","2017-08-18 15:34:28 UTC"
"coincheck","468621.0","468998.0","1503070469","2017-08-18 15:34:29 UTC"
"bitflyer","468729.0","468860.0","1503070470","2017-08-18 15:34:30 UTC"
"coincheck","468632.0","469000.0","1503070471","2017-08-18 15:34:31 UTC"
"bitflyer","468729.0","468860.0","1503070472","2017-08-18 15:34:32 UTC"
"coincheck","468644.0","468995.0","1503070473","2017-08-18 15:34:33 UTC"
"bitflyer","468729.0","468860.0","1503070473","2017-08-18 15:34:33 UTC"
"coincheck","468654.0","468998.0","1503070475","2017-08-18 15:34:35 UTC"
"bitflyer","468729.0","468809.0","1503070475","2017-08-18 15:34:35 UTC"
"coincheck","469255.0","469500.0","1503070476","2017-08-18 15:34:36 UTC"
"bitflyer","468729.0","468809.0","1503070477","2017-08-18 15:34:37 UTC"
"coincheck","469259.0","469415.0","1503070478","2017-08-18 15:34:38 UTC"
"bitflyer","468729.0","468809.0","1503070479","2017-08-18 15:34:39 UTC"
"coincheck","469268.0","469412.0","1503070480","2017-08-18 15:34:40 UTC"
"bitflyer","468931.0","468933.0","1503070481","2017-08-18 15:34:41 UTC"
"coincheck","469268.0","469407.0","1503070482","2017-08-18 15:34:42 UTC"
"bitflyer","468931.0","468959.0","1503070482","2017-08-18 15:34:42 UTC"
"coincheck","469407.0","469457.0","1503070484","2017-08-18 15:34:44 UTC"
"bitflyer","468931.0","468959.0","1503070484","2017-08-18 15:34:44 UTC"
"coincheck","469444.0","469500.0","1503070485","2017-08-18 15:34:45 UTC"
"bitflyer","468932.0","468959.0","1503070487","2017-08-18 15:34:47 UTC"
"coincheck","469200.0","469208.0","1503070488","2017-08-18 15:34:48 UTC"
"bitflyer","468932.0","469100.0","1503070488","2017-08-18 15:34:48 UTC"
"coincheck","469168.0","469429.0","1503070489","2017-08-18 15:34:49 UTC"
