"exchange","bid","ask","time","created_at"
"coincheck","485904.0","486083.0","1502783716","2017-08-15 07:55:16 UTC"
"zaif","485570.0","485590.0","1502783716","2017-08-15 07:55:16 UTC"
"coincheck","485913.0","486085.0","1502783718","2017-08-15 07:55:18 UTC"
"zaif","485605.0","485665.0","1502783718","2017-08-15 07:55:18 UTC"
"coincheck","485908.0","486139.0","1502783720","2017-08-15 07:55:20 UTC"
"zaif","485605.0","485665.0","1502783720","2017-08-15 07:55:20 UTC"
"coincheck","485918.0","486199.0","1502783722","2017-08-15 07:55:22 UTC"
"zaif","485605.0","485665.0","1502783722","2017-08-15 07:55:22 UTC"
"coincheck","485922.0","486199.0","1502783723","2017-08-15 07:55:23 UTC"
"zaif","485605.0","485665.0","1502783723","2017-08-15 07:55:23 UTC"
"coincheck","485927.0","486198.0","1502783725","2017-08-15 07:55:25 UTC"
"zaif","485605.0","485665.0","1502783725","2017-08-15 07:55:25 UTC"
"coincheck","485932.0","486198.0","1502783727","2017-08-15 07:55:27 UTC"
"zaif","485605.0","485665.0","1502783727","2017-08-15 07:55:27 UTC"
"coincheck","485951.0","486198.0","1502783728","2017-08-15 07:55:28 UTC"
"zaif","485605.0","485665.0","1502783729","2017-08-15 07:55:29 UTC"
"coincheck","485958.0","486198.0","1502783730","2017-08-15 07:55:30 UTC"
"zaif","486000.0","486165.0","1502783731","2017-08-15 07:55:31 UTC"
"coincheck","485959.0","486198.0","1502783732","2017-08-15 07:55:32 UTC"
"zaif","486000.0","486165.0","1502783732","2017-08-15 07:55:32 UTC"
"coincheck","485972.0","486199.0","1502783734","2017-08-15 07:55:34 UTC"
"zaif","485600.0","486000.0","1502783734","2017-08-15 07:55:34 UTC"
"coincheck","485977.0","486199.0","1502783736","2017-08-15 07:55:36 UTC"
"zaif","485600.0","486000.0","1502783736","2017-08-15 07:55:36 UTC"
"coincheck","485982.0","486199.0","1502783737","2017-08-15 07:55:37 UTC"
"zaif","485600.0","486000.0","1502783738","2017-08-15 07:55:38 UTC"
"coincheck","485989.0","486199.0","1502783741","2017-08-15 07:55:41 UTC"
"zaif","485605.0","485995.0","1502783741","2017-08-15 07:55:41 UTC"
"coincheck","486050.0","486195.0","1502783742","2017-08-15 07:55:42 UTC"
"zaif","485605.0","485995.0","1502783743","2017-08-15 07:55:43 UTC"
"coincheck","486150.0","486198.0","1502783744","2017-08-15 07:55:44 UTC"
"zaif","485605.0","485990.0","1502783745","2017-08-15 07:55:45 UTC"
"coincheck","486109.0","486199.0","1502783747","2017-08-15 07:55:47 UTC"
"zaif","485605.0","485990.0","1502783747","2017-08-15 07:55:47 UTC"
